phi;Fkm/2;Fkm;F2km;F10km;F50km;F100km
0.2822524649709579;0.20204484219440716;0.7398035941568553;0.648125545496606;0.4248382992992439;0.3741863762059636;0.3690736392617615
0.28532042654672907;0.19403022302818046;0.7303712980485492;0.6448538195500196;0.42412843785735527;0.37372817747918785;0.3686368823218602
0.28838838812250067;0.18633287195459466;0.7210235283586534;0.6415738418514532;0.42341289180792885;0.37326596889367625;0.3681962731638505
0.29145634969827183;0.17894030416319726;0.7117610209012424;0.6382861569744407;0.4226917170675365;0.37279977800665903;0.3677518372675475
0.294524311274043;0.17184051758264815;0.702584435499184;0.6349913030565923;0.4219649697551679;0.37232963252781226;0.3673036002581853
0.2975922728498146;0.16502197519949377;0.6934943587221715;0.6316898116987884;0.4212327061827209;0.37185556031553924;0.36685158790307176
0.30066023442558576;0.15847358790942817;0.684491306581567;0.6283822078708498;0.42049498284552833;0.37137758937325077;0.36639582610823934
0.3037281960013569;0.152184697899166;0.675575727179461;0.6250690098235859;0.4197518564129218;0.3708957478456446;0.3659363409150949
0.3067961575771281;0.14614506255497492;0.6667480033096886;0.6217507290071266;0.41900338371883716;0.3704100640149854;0.3654731584970688
0.3098641191528997;0.14034483889210014;0.6580084550087892;0.6184278699954234;0.4182496217524637;0.3699205662973855;0.36500630515626287
0.31293208072867085;0.13477456849785074;0.6493573420551989;0.6151009304168203;0.41749062764893835;0.3694272832390885;0.36453580732009994
0.316000042304442;0.12942516297985443;0.6407948664151847;0.6117704008905689;0.4167264586800873;0.36893024351275444;0.36406169153797335
0.31906800388021317;0.12428788991000324;0.6323211746343159;0.6084367649691859;0.41595717224521905;0.36842947591374897;0.36358398447789964
0.3221359654559848;0.11935435925375817;0.6239363601734439;0.6051004990865237;0.41518282586196953;0.36792500935643774;0.3631027129231728
0.32520392703175593;0.11461651027384727;0.6156404656884025;0.6017620725114409;0.41440347715720177;0.3674168728704847;0.36261790376902225
0.3282718886075271;0.1100665988968676;0.6074334852528096;0.5984219473069392;0.4136191838579625;0.3669050955971566;0.36212958401927475
0.3313398501832987;0.10569718553093782;0.5993153665235641;0.5950805782946532;0.4128300037824975;0.36638970678563515;0.3616377807830209
0.33440781175906986;0.10150112332226442;0.5912860128487704;0.5917384130245587;0.4120359948313291;0.3658707357893351;0.36114252127128726
0.337475773334841;0.09747154683830417;0.5833452853179805;0.5883958917497674;0.4112372149783949;0.36534821206223184;0.360643832793714
0.3405437349106122;0.09360186116513158;0.5754930047548112;0.585053447406289;0.4104337222622529;0.36482216515519705;0.36014174275523925
0.3436116964863838;0.08988573140657181;0.567728953652093;0.5817115055976185;0.40962557477735306;0.3642926247123444;0.35963627865279146
0.34667965806215495;0.0863170725727134;0.560052878049851;0.5783704845840253;0.40881283066537777;0.36375962046738614;0.3591274680719891
0.3497476196379261;0.08289003984548368;0.5524644893565038;0.575030795276402;0.40799554810665234;0.3632231822399992;0.35861533868384826
0.35281558121369727;0.07959901920911996;0.5449634661138;0.571692841234551;0.40717378531162846;0.36268333993220536;0.35809991824150156
0.3558835427894689;0.07643861843351343;0.5375494557060633;0.568357018669768;0.40634760051244156;0.36214012352476166;0.35758123457692426
0.35895150436524004;0.07340365839861258;0.5302220760144326;0.5650237164515935;0.40551705195454385;0.3615935630735659;0.3570593155976735
0.3620194659410112;0.0704891647482778;0.5229809170168207;0.561693316118594;0.404682197888414;0.3610436887060747;0.35653418928363595
0.3650874275167828;0.06769035986223505;0.51582554233442;0.5583661918930465;0.4038430965613468;0.36049053061773634;0.3560058836837891
0.36815538909255396;0.06500265513501564;0.5087554907256128;0.555042710699394;0.4029998062093228;0.3599341190684398;0.3554744269129744
0.3712233506683251;0.062421643551040386;0.5017702775281885;0.5517232321863323;0.4021523850489585;0.35937448437897784;0.3549398471486818
0.3742913122440963;0.05994309254529001;0.4948693960508515;0.5484081087524083;0.4013008912695423;0.358811656927528;0.35440217262784973
0.3773592738198679;0.05756293713927531;0.4880523189149957;0.5450976855749938;0.40044538302515226;0.3582456671461499;0.3538614316436777
0.38042723539563905;0.055277273342317336;0.4813184993477892;0.5417923006425097;0.3995859184268622;0.35767654551730094;0.35331765254245373
0.3834951969714102;0.05308235180842729;0.47466737242760854;0.538492284789768;0.39872255553503283;0.35710432257036906;0.35277086372039673
0.3865631585471814;0.0509745717393794;0.4680983562829186;0.5351979617363125;0.3978553523516925;0.35652902887822535;0.35222109362051435
0.389631120122953;0.04895047502484681;0.46161085324567885;0.531909648127631;0.39698436681300736;0.35595069505379595;0.35166837072947743
